Id,'Gas_Connection','Fireplace','Entrance_Hall','Kitchenette','Equipped',Garage_Type,'Furnished','Drainage','Telephone','Guest_Bathroom','BBQ_Area','Living_Room','Nearby_Parks','Solarium',Commercial_Use,Province,'Internal_Garden',Garages,'Electricity','Patio','Children_Playground',Type,Number_Bathrooms,'Green_Areas','Electric_Doorman',Construction_Area_m2,'Intercom','Near_Sea','Sauna','Cinema_Room','Cleaning_Service','Terrace',Construction_Area,'Sports_Area','Security_System',Location,'Water_Heater',Professional_Use,Match,'Club_House','Internal_Park','Laundry_Room','Nearby_Schools','Balcony','Attic','Oceanfront','Security_Guard',Natural_Light,'Swimming_Pool','Electric_Fence',Advertiser,'Air_Conditioning','Hall','Nearby_Shopping_Centers','Kitchen','Water','Basement','Independent_Bathroom','Walk_in_Closet',Age,Number_Floors,'Daily_Dining_Room','Grill','Closet',Publication_Date,'Internet','Sauna_Area',Bedrooms,Pets,'Kitchen_with_Cabinets','Service_Room','Garden','Storage_Room',Beach_Resort,'Cable','Gym','Jacuzzi','Independent_Entrance','Handicap_Access','Dining_Room','Office',Total_Area_m2,'Heating',District,'Daycare',Property_Condition,'Internet_Room','Service_Bathroom',Price
0,1,Not specified,0,0,Not specified,Paralelas,Not specified,Not specified,0,0,0,0,1,0,Not specified,Lima,0,1,1,0,0,Casa,4,0,Not specified,142,Not specified,0,Not specified,0,0,0,142.00 m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000
1,0,1,Not specified,0,0,Paralelas,0,0,0,1,Not specified,0,Not specified,Not specified,Not specified,Lima,0,2,1,0,Not specified,Casa,5,Not specified,0,480,0,Not specified,0,Not specified,0,0,480.00 m2,Not specified,1,LaMolina-Lima,0,Not specified,0.0,Not specified,Not specified,0,Not specified,1,1,Not specified,0,Luminoso,Not specified,0,CLC INMOBILIARIA,0,0,Not specified,1,1,0,0,0,3,2.0,1,1,0,Publicado el 04.09.19,0,Not specified,3,Si,1,1,Not specified,0,Nulo,0,Not specified,0,Not specified,Not specified,1,0,311,0,LaMolina,Not specified,Bueno,Not specified,1,660000
2,Not specified,Not specified,1,0,Not specified,Lineales,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,0,4,Not specified,0,0,Casa,3,0,Not specified,400,Not specified,Not specified,Not specified,0,Not specified,1,400.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,2,2.0,1,Not specified,0,Publicado el 01.08.19,Not specified,0,3,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,1,1400,Not specified,LaMolina,0,Bueno,0,1,1500000
3,0,1,Not specified,0,0,Separadas,0,0,0,1,Not specified,0,1,Not specified,No,Lima,0,2,1,0,Not specified,Casa,4,Not specified,0,420,0,0,0,Not specified,0,0,420.00 m2,Not specified,1,SanIsidro-Lima,1,No,0.0,Not specified,Not specified,0,1,1,0,0,1,Muy luminoso,Not specified,0,Margarita Ponce de Leon,0,0,1,1,1,0,0,0,4,2.0,1,0,0,Publicado el 12.08.19,1,Not specified,4,Si,1,1,Not specified,1,Nulo,1,Not specified,0,0,0,1,0,317,0,SanIsidro,Not specified,Remodelado,Not specified,1,1100000
4,0,Not specified,Not specified,0,Not specified,Lineales,Not specified,Not specified,0,0,Not specified,0,1,Not specified,Si,Lima,0,1,1,1,Not specified,Casa,1,Not specified,Not specified,120,Not specified,0,Not specified,Not specified,0,0,120.00 m2,Not specified,0,VillaMariaDelTriunfo-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,1,0,0,0,0,Not specified,Not specified,Not specified,REMAX Alliance Per̼,Not specified,0,1,0,1,0,0,0,1,2.0,0,Not specified,0,Publicado el 02.08.19,0,Not specified,1,Si,Not specified,0,Not specified,0,Nulo,0,Not specified,Not specified,0,0,0,0,246,Not specified,VillaMariaDelTriunfo,Not specified,Regular,Not specified,0,110000
5,Not specified,Not specified,1,0,Not specified,Not specified,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,0,1,Not specified,1,0,Casa,3,0,Not specified,265,Not specified,Not specified,Not specified,0,Not specified,1,265.00 m2,0,Not specified,Miraflores-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,1,3,3.0,1,Not specified,0,Publicado el 22.08.19,Not specified,0,4,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,1,150,Not specified,Miraflores,0,Remodelado,0,1,570000
6,0,1,0,0,1,Paralelas,1,1,1,1,0,0,0,0,No,Lima,0,2,1,0,0,Casa de Playa,5,1,0,300,1,1,0,0,1,0,300.00 m2,0,1,Asia-Lima,1,No,0.0,0,0,0,0,0,0,0,1,Muy luminoso,1,0,REMAX EXPO 1,1,0,1,1,0,0,0,0,3,2.0,1,0,0,Publicado el 10.05.19,1,0,5+,No,0,1,0,0,Las Gaviotas,1,0,0,0,0,1,0,230,0,Asia,0,Excelente,0,1,850000
7,0,0,0,0,0,NoTiene,0,0,0,0,0,0,Not specified,0,Not specified,Lima,1,0,0,0,0,Casa en condominio,4,0,0,600,0,Not specified,0,0,0,1,600.00 m2,0,0,Cieneguilla-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,0,1,Not specified,1,0,0,0,0,1,2.0,0,1,0,Publicado el 29.07.19,0,0,4,Si,0,1,1,0,Nulo,0,0,0,Not specified,Not specified,1,0,3180,0,Cieneguilla,0,Not specified,0,1,760000
8,0,0,Not specified,0,0,Paralelas,0,0,0,1,Not specified,1,1,Not specified,Not specified,Lima,1,3,1,0,Not specified,Casa,2,Not specified,0,303,0,0,0,Not specified,0,0,303.00 m2,Not specified,0,SanBorja-Lima,0,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,0,Muy luminoso,Not specified,0,APV Inmobiliaria,0,1,1,1,1,0,0,0,3,3.0,1,0,1,Publicado el 02.07.19,0,Not specified,4,Si,1,1,Not specified,0,Nulo,0,Not specified,0,0,0,1,1,200,0,SanBorja,Not specified,Excelente,Not specified,1,480000
9,1,0,1,0,1,Separadas,1,0,1,1,1,0,1,0,Not specified,Lima,0,4,1,0,0,Casa,5,0,1,950,1,0,0,0,1,0,950.00 m2,0,1,LaMolina-Lima,1,Not specified,0.0,0,1,0,1,1,1,0,1,Muy luminoso,1,1,ALFREDO VARGAS,1,0,1,1,1,0,0,0,2,3.0,1,1,0,Publicado el 29.08.19,1,0,5+,Si,1,1,1,1,Nulo,1,1,0,0,1,1,0,950,1,LaMolina,0,Excelente,0,1,1550000
10,Not specified,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,1,0,0,Not specified,0,Not specified,Lima,0,2,Not specified,0,0,Casa,5,0,Not specified,200,Not specified,Not specified,Not specified,0,Not specified,1,200.00 m2,0,Not specified,Asia-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,4,2.0,1,Not specified,0,Publicado el 26.07.19,Not specified,0,5+,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,294,Not specified,Asia,0,Muy bueno,0,0,350000
11,0,0,0,0,0,Paralelas,0,0,1,1,0,0,Not specified,0,Not specified,LaLibertad,0,1,1,0,0,Casa en condominio,3,0,0,220,0,Not specified,0,0,0,0,220.00 m2,0,0,VictorLarcoHerrera-LaLibertad,0,Not specified,0.0,0,1,0,Not specified,0,0,Not specified,1,Muy luminoso,0,0,No disponible,0,0,Not specified,1,1,0,0,0,1,3.0,1,0,0,Publicado el 27.08.19,1,0,3,Si,1,1,0,0,Nulo,0,0,0,Not specified,Not specified,1,0,100,0,VictorLarcoHerrera,0,Muy bueno,0,1,260000
12,0,Not specified,Not specified,0,Not specified,Paralelas,Not specified,Not specified,1,1,Not specified,1,1,Not specified,Not specified,Lima,1,2,1,1,Not specified,Casa,5,Not specified,Not specified,365,Not specified,0,Not specified,Not specified,0,1,365.05 m2,Not specified,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000
13,Not specified,1,1,0,0,Paralelas,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,1,2,Not specified,1,0,Casa,3,0,0,230,0,Not specified,0,0,Not specified,1,230.00 m2,0,Not specified,Miraflores-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,No disponible,0,1,Not specified,1,Not specified,0,0,0,6,3.0,1,1,0,Publicado el 22.08.19,Not specified,0,5+,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,127,0,Miraflores,0,Not specified,0,1,395000
14,0,Not specified,1,0,Not specified,Paralelas,Not specified,Not specified,0,1,0,1,Not specified,0,Not specified,Lima,0,3,0,0,0,Casa en condominio,5,0,Not specified,350,Not specified,Not specified,Not specified,0,0,1,350.00 m2,0,0,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,0,0,0,0,1,2.0,1,Not specified,0,Publicado el 17.09.19,0,0,4,Si,Not specified,1,1,0,Nulo,0,0,Not specified,Not specified,Not specified,1,0,700,Not specified,LaMolina,0,Not specified,0,1,1100000
15,Not specified,0,0,0,0,Not specified,0,0,Not specified,0,0,0,Not specified,0,Not specified,Lima,0,3,Not specified,1,0,Casa,3,0,0,246,0,Not specified,0,0,Not specified,1,246.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,Hogar & Estilo Inmobiliaria,0,1,Not specified,1,Not specified,0,0,0,1,2.0,1,1,0,Publicado el 15.06.19,Not specified,0,5+,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,300,0,SantiagoDeSurco,0,Not specified,0,1,580000
16,Not specified,1,1,0,0,Paralelas,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,2,Not specified,1,0,Casa,4,0,0,285,0,Not specified,0,0,Not specified,1,285.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,0,1,Not specified,1,Not specified,1,0,1,8,2.0,1,1,0,Publicado el 10.08.19,Not specified,0,3,Si,0,1,0,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,180,0,LaMolina,0,Not specified,0,1,498000
17,0,0,Not specified,0,0,Paralelas,1,1,0,1,Not specified,0,1,Not specified,Not specified,Lima,0,2,1,0,Not specified,Casa,3,Not specified,0,300,0,0,0,Not specified,0,0,300.00 m2,Not specified,0,PuebloLibre-Lima,1,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,0,Muy luminoso,Not specified,0,CASALDI,0,0,1,1,1,0,0,0,3,3.0,1,0,0,Publicado el 21.08.19,1,Not specified,5+,Si,1,1,Not specified,0,Nulo,0,Not specified,0,0,0,1,0,180,0,PuebloLibre,Not specified,A Remodelar,Not specified,1,325000
